Date,24h Average,Ask,Bid,Last,Total Volume
2014-05-19,-1.13,0.33999999999997,0.38,-0.050000000000011,6258.63
2014-05-18,-2.66,-1.97,-1.57,-2.57,-43.74
2014-05-17,1.15,-1.5700000000001,-1.44,-0.75999999999999,-5262.69
2014-05-16,0.35999999999996,1.1900000000001,1.06,1.0,-3654.21
2014-05-15,3.48,0.19,-0.47000000000003,0.57999999999998,-1523.03
2014-05-14,3.79,7.17,7.9,6.1,1602.37
2014-05-13,0.77999999999997,-1.54,-1.61,-0.13,741.08
2014-05-12,-7.55,4.11,3.63,2.57,-13685.2
2014-05-11,-4.73,-15.95,-15.83,-15.56,17530.42
2014-05-10,8.86,12.89,13.56,13.56,-8729.85
2014-05-08,7.18,-3.16,-3.86,-3.33,-15339.23
2014-05-07,5.82,14.02,15.03,14.62,9943.9
2014-05-06,-3.41,-2.26,-3.4,-3.9,3315.44
